ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			antivirus program (subst.) 		senvirusigilo											antivirusprogramma								antivirus								Antivirenprogramm			
			antivirus software (anti-virus software) (subst.) 		senvirusigilo	KompLeks	TekVort								de	antivirusprogramma	100%	ICT VNU					un	programme anti-virus								Antivirenprogramm			
			anycast (verbo) 		ien-ajn-elsendi												100%	ICT VNU																	
			aperture (subst.) 		aperturo	Bertin																													
			API (Application Programming Interface) (mallon.) 		aplikprograma interfaco	KompLeks				API																									
			apostrophe (subst.) 		apostrofo	KompLeks										apostrof	100%	ICT VNU					une	apostrophe											
			appealing (adj.) 		alloga											aantrekkelijk								accrocheur								ansprechend			
			appearance (subst.) 		apero	KompLeks	ReVo			aspekto	Maŭro		aperaĵo	ReVo	de	vorm	100%	ICT VNU					une	apparence											
			append (verbo) 		postglui	OOo				postaldoni	Vim					toevoegen	100%	ICT VNU	Microsoft																
			append query (subst.) 		aldoniga informmendo											toevoegquery								requête Ajout								Anfügeabfrage			
			appendable (adj.) 		postgluebla					postaldonebla																									
			Apple hardware (subst.) 		Apple-aparataro										de	Apple-apparatuur	100%						un	appareil Apple											
			Apple platform (subst.) 		Apple-platformo										het	Apple-platform	100%						une	plateforme Apple											
			Apple software (subst.) 		Apple-programaro										de	Apple-programmatuur	100%						un	programme Apple											
			applet (subst.) 		retprogramo	KompList	Klivo Lendon			apleto	KompLeks	OOo	aplikaĵeto	KDE	het	applet	100%	Van Dale	ICT VNU				une	appliquette	100%	journal officiel						Applet			
			appliance (subst.) 		aparato										het	eenvoudige apparaat	100%	ICT VNU																	
			appliance server (subst.) 		servila fasko										de	direct werkende server	100%	ICT VNU																	
			application (subst.) 		aplikaĵo / aplikajxo	KompLeks	KDE	TekVort		aplika programo	PIV2002				de	toepassing	100%	Microsoft	ICT VNU		applicatie	ICT VNU	une	application								Anwendung			
			application designer tool (subst.) 		programilo	Maŭro				komponilo	KompLeks																								
			application domain (subst.) 		aplikokampo											toepassingsdomein								domaine d'application								Anwendungsdomäne			
			application folder (subst.) 		programdosierujo										de	programmamap	100%																		
			application launcher (subst.) 		aplikaĵolanĉilo / aplikajxolancxilo	KDE																													
			application layer  (subst.) 		aplika tavolo	TekVort									de	toepassingslaag	100%							couche Application								Anwendungsschicht			
			application logic (subst.) 		logiko de la aplikaĵo / logiko de la aplikajxo											toepassingslogica								logique d'application								Anwendungslogik			
			application pane (subst.) 		aplikaĵofenestro / aplikajxofenestro											toepassingsvenster								volet Application								Anwendungsbereich			
			application pool (subst.) 		grupo de aplikaĵoj / grupo de aplikajxoj											groep van toepassingen								pool d'applications								Anwendungspool			
			application preload (subst.) 		antaŭŝargo de aplikaĵo / antauxsxargo de aplikajxo										het	vooraf laden van toepassingen		Microsoft																	
			application program (subst.) 		aplika programo	PIV2002	Bertin								het	toepassingsprogramma	100%	ICT VNU					un	programme d'application											
			Application Programming Interface (API) (subst.) 		aplikprograma interfaco	KompLeks																	une	interface de programme d'application								Anwendungsprogrammierschnittstelle			
			application root (subst.) 		aplikaĵa radiko / aplikajxa radiko											toepassingshoofdmap								racine de l'application								Anwendungsstamm			
			application scope (subst.) 		aplikaĵa regiono / aplikajxa regiono											toepassingsbereik								étendue d'application								Anwendungsbereich			
			application server pages (subst.) 		servilaplikaj paĝoj / servilaplikaj pagxoj											ASP																			
			application settings (subst.) 		agordoj de aplikaĵo / agordoj de aplikajxo											toepassingsinstellingen																Anwendungseinstellungen			
			application sharing (subst.) 		komunigo de aplikaĵo / komunigo de aplikajxo											delen van toepassingen								partage d'application								Anwendungsfreigabe			
			application software (subst.) 		aplika programaro	ReVo																													
			Application Specific Integrated Circuit (ASIC) (subst.) 		Aplikadospecifa Integrita Cirkvito (ASIC)	KompList																													
			application suite (subst.) 		aplikaĵaro / aplikajxaro											programmapakket								suite d'applications								Anwendungssuite			
			apply (verbo) 		apliki	OOo				kandidatiĝi	Drupalo					toepassen	100%	ICT VNU			van toepassing zijn	ICT VNU	verbe	appliquer								anwenden			
			apply power to (verbo) 		kurentprovizi	Bertin																													
			approach (subst.) 		aliro	KompLeks									de	aanpak	100%	ICT VNU			benadering	ICT VNU													
			approval history (subst.) 		historio de aproboj											goedkeuringsgeschiedenis								historique des approbations								Zustimmungsverlauf			
			arbitrary (adj.) 		arbitra	Pekoteko										willekeurig	100%	ICT VNU																	
			arc (subst.) 		arko	Bertin																													
			architecture (subst.) 		arkitekturo					arĥitekturo					de	architectuur	100%	ICT VNU					une	architecture											
			archive (verbo) 		enarkivigi	KompList										archiveren	100%	ICT VNU					verbe	archiver								archivieren			
			archive (subst.) 		arkivo	PIV2002	KompLeks			arĥivo	PIV2002				het	archief	100%	ICT VNU					une	archive								Archiv			
			archiving  (subst.) 		arkivado	TekVort									het	archiveren	100%	ICT VNU					un	archivage											
			archiving software (subst.) 		arkiva programaro										de	archiveringsprogrammatuur	100%																		
			area (subst.) 		areo	KompLeks	Aleksej Timin			memorareo					het	gebied	100%	ICT VNU					une	aire								Fläche			
			area chart (subst.) 		area diagramo	Maŭro										vlakdiagram								graphique en aires								Flächendiagramm			
			area code (subst.) 		regionkodo											netnummer								indicatif régional								Ortskennzahl			
			argument (subst.) 		argumento	KompLeks	Bertin								het	argument	100%	ICT VNU					un	argument								Argument			
			arithmetic (adj.) 		aritmetika	Bertin																													
			arithmetic and logical unit (arithmetic unit) (subst.) 		aritmetikilo	ReVo																	une	unité d'arithmétique											
			arithmetics (subst.) 		aritmetiko	ReVo																	une	arithmétique											
			arm (access) (subst.) 		brako	Bertin																													
			arrange (verbo) 		aranĝi / arangxi	OOo										rangschikken	100%	ICT VNU			sorteren	ICT VNU	verbe	arranger											
			array (subst.) 		tabelo	KompLeks	OOo	Bertin		matrico	Maŭro	Bertin			de	matrix	100%	ICT VNU			array		un	tableau								Matrix			
			array type  (subst.) 		tabeltipo					matricotipo	Maŭro				het	matrixtype							un	type de tableau											
			arrow (subst.) 		sago	OOo	Pekoteko								de	pijl		ICT VNU					une	flèche											
			arrow key  (subst.) 		sagoklavo	TekVort	KompLeks								de	pijltoets					cursortoets	ICT VNU	une	touche fléchée								Pfeiltaste			
			art department (subst.) 		grafikistoj																														
			article (website) (subst.) 		afiŝo / afisxo	KompLeks	Aleksej Timin			artikolo					de	bijdrage		ICT VNU					un	article								Artikel			
			artificial intelligence (subst.) 		artefarita intelekto	PIV2002	ReVo	KompList	Bertin						de	kunstmatige intelligentie	100%	ICT VNU	Wikipedia				une	intelligence artificielle											
			artificial language (subst.) 		artefarita lingvo	Bertin																													
			artwork (subst.) 		artaĵoj / artajxoj					grafiko					de	afbeeldingen		ICT VNU																	
			ascend (verbo) 		kreski	OOo	Lode VDV									oplopen		ICT VNU																	
			ascender (subst.) 		superliniaĵo / superliniajxo	KompLeks									de	stok		ICT VNU																	
			ascending (adj.) 		kreska	OOo	TekVort									oplopend	100%	Microsoft																	
			ascending order (subst.) 		kreska ordo	KompLeks	Bertin									oplopende volgorde		ICT VNU																	
			ascending sort (subst.) 		kreska ordigo	KompLeks										oplopend sorteren		ICT VNU																	
			ASCII (subst.) 		askio	PIV2002	ReVo	TekVort	Vikipedio							ASCII (tekenset)	100%																		
			ASCII character set (subst.) 		askia signaro	PIV2002	KompLeks									ASCII tekenset	100%							jeu de caractères ASCII								ASCII-Zeichensatz			
			ASCIIze (ASIIse) (verbo) 		askiigi	ReVo										omzetten naar ASCII																			
			ASP (mallon.) 		ASP																		-	ASP											
			aspect ratio (subst.) 		ekranformato	Edmundo				bildformato	Edmundo				de	hoogte-breedteverhouding		Van Dale	Microsoft				une	proportions								Seitenverhältnis			
			assemble (hardware) (verbo) 		munti																														
			assemble (programming) (verbo) 		asembli	PIV2002	ReVo	Bertin	Pekoteko	kunmeti	Teknika vortaro					samenstellen	100%	ICT VNU			assembleren	Van Dale		assembler								assemblieren			
			assembler  (subst.) 		asemblilo	PIV2002	KompLeks	Bertin	Pekoteko	kunmetilo	Teknika vortaro				het	assembleerprogramma	100%	Van Dale	ICT VNU					assembleur								Assembler			
			assembly language (subst.) 		asembla lingvo	PIV2002	TekVort	KompList							de	assembleertaal	100%	ICT VNU																	
			assertion (subst.) 		aserto	KompLeks									de	bewering																			
			asses (verbo) 		taksi	Benson																													
			assessment (subst.) 		takso	Benson									de	evaluatie		ICT VNU																	
			assessment report (subst.) 		taksado-raporto																														
			assessor (subst.) 		taksisto																														
			asset (subst.) 		pluso	Lode VDV									de	troef																			
			assign (verbo) 		atribui	OOo				valorizi	KompLeks					toewijzen	100%	Van Dale			toekennen	ICT VNU										zuweisen			
			assigned configuration (subst.) 		atribuita agordo											toegewezen configuratie								configuration attribuée								zugewiesene Konfiguration			
			assigned task (subst.) 		atribuita tasko											toegewezen taak								tâche assignée								zugewiesene Aufgabe			
			assignment (subst.) 		atribuo	KompBaz				valorizo	KompLeks				de	toewijzing		ICT VNU														Zuweisung			
			assignment operator (subst.) 		atribuilo 																														
			assignment statement (subst.) 		atribua instrukcio											toewijzingsinstructie																Zuweisungsanweisung			
			assistant (installation) (subst.) 		instal-asistanto					agordilo	KDE				de	configuratie-assistent																			
			assistive technologie (subst.) 		helpoteknologio	Cindio																													
			associate (verbo) 		asocii	Edmundo										koppelen								associer								zuordnen			
			associated item (subst.) 		asocigita elemento											gekoppeld item								élément associé								zugeordnetes Element			
			association (subst.) 		asocio	Drupalo																													
			associative array (subst.) 		akompana tabelo											bijbehorende matrix								tableau associatif								assoziativer Matrix			
			assumption (subst.) 		supozo											veronderstelling																Annahme			
			asterisk (subst.) 		steleto	KompLeks	TekVort									sterretje	100%	Taalunie					une	astérisque								Sternchen			
			asymmetric  (adj.) 		malsimetria	KompLeks	TekVort									asymmetrisch	100%	ICT VNU						asymétrique								asymmetrisch			
			asymmetric encryption (subst.) 		malsimetria ĉifrado / malsimetria cxifrado											asymmetrische versleuteling								chiffrement asymétrique								asymmetrische Verschlüsselung			
			asymmetric key algorithm (subst.) 		malsimetria ŝlosiloalgoritmo / malsimetria sxlosiloalgoritmo											algoritme van asymmetrische sleutel								algorithme de clé asymétrique								Algorithmus des asymmetrischen Schlüssels			
			asymmetric multiprocessing (subst.) 		malsimetria plurtraktado											asymmetrische multiprocessing								multitraitement asymétrique								Asymmetrisches Multiprocessing			
			asynchronous  (adj.) 		nesinkrona	KompLeks	TekVort									asynchroon	100%	Van Dale	ICT VNU					asynchrone								asynchron			
